MovieID,Title,NumRatings
3408,Erin Brockovich (2000),1315
3623,Mission: Impossible 2 (2000),1313
1073,Willy Wonka and the Chocolate Factory (1971),1313
1356,Star Trek: First Contact (1996),1310
3527,Predator (1987),1297
2700,"South Park: Bigger, Longer and Uncut (1999)",1269
1219,Psycho (1960),1263
1247,"Graduate, The (1967)",1261
1089,Reservoir Dogs (1992),1259
1544,"Lost World: Jurassic Park, The (1997)",1255
1222,Full Metal Jacket (1987),1254
150,Apollo 13 (1995),1251
3753,"Patriot, The (2000)",1240
111,Taxi Driver (1976),1240
2710,"Blair Witch Project, The (1999)",1237
2657,"Rocky Horror Picture Show, The (1975)",1233
357,Four Weddings and a Funeral (1994),1233
1094,"Crying Game, The (1992)",1229
2985,Robocop (1987),1229
1206,"Clockwork Orange, A (1971)",1229
2640,Superman (1978),1222
3147,"Green Mile, The (1999)",1222
2395,Rushmore (1998),1220
3421,Animal House (1978),1207
1517,Austin Powers: International Man of Mystery (1997),1205
1641,"Full Monty, The (1997)",1199
1278,Young Frankenstein (1974),1193
1252,Chinatown (1974),1185
367,"Mask, The (1994)",1179
1358,Sling Blade (1996),1177
1208,Apocalypse Now (1979),1176
2100,Splash (1984),1163
1676,Starship Troopers (1997),1163
2529,Planet of the Apes (1968),1162
2011,Back to the Future Part II (1989),1158
2321,Pleasantville (1998),1158
920,Gone with the Wind (1939),1156
2324,Life Is Beautiful (La Vita è bella) (1997),1152
2012,Back to the Future Part III (1990),1148
1090,Platoon (1986),1143
47,Seven (Se7en) (1995),1137
1500,Grosse Pointe Blank (1997),1136
1370,Die Hard 2 (1990),1135
1954,Rocky (1976),1129
1673,Boogie Nights (1997),1128
2115,Indiana Jones and the Temple of Doom (1984),1127
2194,"Untouchables, The (1987)",1127
1376,Star Trek IV: The Voyage Home (1986),1126
587,Ghost (1990),1124
364,"Lion King, The (1994)",1121
3253,Wayne's World (1992),1120
3671,Blazing Saddles (1974),1119
1288,This Is Spinal Tap (1984),1118
923,Citizen Kane (1941),1116
316,Stargate (1994),1116
3160,Magnolia (1999),1113
1242,Glory (1989),1112
1917,Armageddon (1998),1110
736,Twister (1996),1110
3255,"League of Their Own, A (1992)",1099
1294,M*A*S*H (1970),1099
1732,"Big Lebowski, The (1998)",1097
3361,Bull Durham (1988),1095
1396,Sneakers (1992),1091
2763,"Thomas Crown Affair, The (1999)",1089
1258,"Shining, The (1980)",1087
2302,My Cousin Vinny (1992),1086
3448,"Good Morning, Vietnam (1987)",1082
1653,Gattaca (1997),1077
1608,Air Force One (1997),1076
1391,Mars Attacks! (1996),1074
2692,Run Lola Run (Lola rennt) (1998),1072
2455,"Fly, The (1986)",1071
3081,Sleepy Hollow (1999),1066
3702,Mad Max (1979),1066
2268,"Few Good Men, A (1992)",1061
595,Beauty and the Beast (1991),1060
349,Clear and Present Danger (1994),1059
969,"African Queen, The (1951)",1057
3256,Patriot Games (1992),1052
904,Rear Window (1954),1050
1234,"Sting, The (1973)",1049
597,Pretty Woman (1990),1046
1674,Witness (1985),1046
2054,"Honey, I Shrunk the Kids (1989)",1045
913,"Maltese Falcon, The (1941)",1043
2081,"Little Mermaid, The (1989)",1035
3703,Mad Max 2 (a.k.a. The Road Warrior) (1981),1034
11,"American President, The (1995)",1033
1377,Batman Returns (1992),1031
2890,Three Kings (1999),1021
3755,"Perfect Storm, The (2000)",1013
2001,Lethal Weapon 2 (1989),1011
1028,Mary Poppins (1964),1011
1101,Top Gun (1986),1010
2968,Time Bandits (1981),1010
2617,"Mummy, The (1999)",1007
2407,Cocoon (1985),1006
1682,"Truman Show, The (1998)",1005
1372,Star Trek VI: The Undiscovered Country (1991),1001
1233,"Boat, The (Das Boot) (1981)",1001
1266,Unforgiven (1992),997
551,"Nightmare Before Christmas, The (1993)",996
1909,"X-Files: Fight the Future, The (1998)",996
3897,Almost Famous (2000),994
329,Star Trek: Generations (1994),990
3363,American Graffiti (1973),990
3052,Dogma (1999),989
1183,"English Patient, The (1996)",989
2353,Enemy of the State (1998),988
539,Sleepless in Seattle (1993),986
2006,"Mask of Zorro, The (1998)",983
3072,Moonstruck (1987),982
25,Leaving Las Vegas (1995),980
2289,"Player, The (1992)",978
1408,"Last of the Mohicans, The (1992)",975
474,In the Line of Fire (1993),972
2105,Tron (1982),970
3552,Caddyshack (1980),967
1639,Chasing Amy (1997),966
1552,Con Air (1997),954
440,Dave (1993),948
788,"Nutty Professor, The (1996)",948
3108,"Fisher King, The (1991)",945
1215,Army of Darkness (1993),945
2712,Eyes Wide Shut (1999),945
1282,Fantasia (1940),943
6,Heat (1995),940
2336,Elizabeth (1998),938
1250,"Bridge on the River Kwai, The (1957)",938
2746,Little Shop of Horrors (1986),936
2770,Bowfinger (1999),935
1276,Cool Hand Luke (1967),930
1207,To Kill a Mockingbird (1962),928
36,Dead Man Walking (1995),928
1375,Star Trek III: The Search for Spock (1984),927
235,Ed Wood (1994),927
1080,Monty Python's Life of Brian (1979),926
1320,Alien³ (1992),925
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",923
2248,Say Anything... (1989),914
70,From Dusk Till Dawn (1996),914
1199,Brazil (1985),913
2470,Crocodile Dundee (1986),912
1777,"Wedding Singer, The (1998)",909
1912,Out of Sight (1998),908
3555,U-571 (2000),908
1747,Wag the Dog (1997),907
903,Vertigo (1958),905
2701,Wild Wild West (1999),902
3033,Spaceballs (1987),899
2947,Goldfinger (1964),897
1876,Deep Impact (1998),895
10,GoldenEye (1995),888
1407,Scream (1996),886
3210,Fast Times at Ridgemont High (1982),886
1179,"Grifters, The (1990)",885
1997,"Exorcist, The (1973)",885
1129,Escape from New York (1981),884
3006,"Insider, The (1999)",884
3499,Misery (1990),884
1625,"Game, The (1997)",882
1148,"Wrong Trousers, The (1993)",882
1035,"Sound of Music, The (1965)",882
1748,Dark City (1998),874
3174,Man on the Moon (1999),874
2502,Office Space (1999),872
3107,Backdraft (1991),869
3699,Starman (1984),865
2080,Lady and the Tramp (1955),864
3082,"World Is Not Enough, The (1999)",862
3948,Meet the Parents (2000),862
1722,Tomorrow Never Dies (1997),862
3608,Pee-wee's Big Adventure (1985),861
1953,"French Connection, The (1971)",861
1246,Dead Poets Society (1989),855
2723,Mystery Men (1999),853
2915,Risky Business (1983),852
2908,Boys Don't Cry (1999),850
2641,Superman II (1980),846
2369,Desperately Seeking Susan (1985),840
3543,Diner (1982),839
3039,Trading Places (1983),839
2352,"Big Chill, The (1983)",838
2424,You've Got Mail (1998),838
500,Mrs. Doubtfire (1993),838
17,Sense and Sensibility (1995),835
910,Some Like It Hot (1959),832
1204,Lawrence of Arabia (1962),831
1645,"Devil's Advocate, The (1997)",826
165,Die Hard: With a Vengeance (1995),825
2108,L.A. Story (1991),825
454,"Firm, The (1993)",824
1201,"Good, The Bad and The Ugly, The (1966)",822
3510,Frequency (2000),821
1569,My Best Friend's Wedding (1997),820
1380,Grease (1978),817
3809,What About Bob? (1991),817
1597,Conspiracy Theory (1997),811
3526,Parenthood (1989),811
3450,Grumpy Old Men (1993),809
2167,Blade (1998),809
2393,Star Trek: Insurrection (1998),807
2278,Ronin (1998),806
2427,"Thin Red Line, The (1998)",803
1285,Heathers (1989),803
2002,Lethal Weapon 3 (1992),802
3101,Fatal Attraction (1987),802
2193,Willow (1988),802
368,Maverick (1994),802
2058,"Negotiator, The (1998)",799
2064,Roger & Me (1989),798
1994,Poltergeist (1982),795
3354,Mission to Mars (2000),793
1371,Star Trek: The Motion Picture (1979),792
2694,Big Daddy (1999),791
3624,Shanghai Noon (2000),791
2021,Dune (1984),789
2243,Broadcast News (1987),789
2881,Double Jeopardy (1999),786
1060,Swingers (1996),786
3424,Do the Right Thing (1989),781
2671,Notting Hill (1999),780
1690,Alien: Resurrection (1997),779
2605,Entrapment (1999),777
153,Batman Forever (1995),777
2003,Gremlins (1984),776
2023,"Godfather: Part III, The (1990)",774
2020,Dangerous Liaisons (1988),773
2490,Payback (1999),773
265,Like Water for Chocolate (Como agua para chocolate) (1992),772
2948,From Russia with Love (1963),771
1302,Field of Dreams (1989),768
344,Ace Ventura: Pet Detective (1994),766
785,Kingpin (1996),765
3362,Dog Day Afternoon (1975),765
1267,"Manchurian Candidate, The (1962)",765
3104,Midnight Run (1988),765
594,Snow White and the Seven Dwarfs (1937),763
1947,West Side Story (1961),761
161,Crimson Tide (1995),760
3386,JFK (1991),756
2366,King Kong (1933),756
1513,Romy and Michele's High School Reunion (1997),755
1092,Basic Instinct (1992),751
778,Trainspotting (1996),751
899,Singin' in the Rain (1952),751
1965,Repo Man (1984),751
1231,"Right Stuff, The (1983)",750
2826,"13th Warrior, The (1999)",750
2391,"Simple Plan, A (1998)",745
3396,"Muppet Movie, The (1979)",744
1077,Sleeper (1973),744
2872,Excalibur (1981),742
2288,"Thing, The (1982)",741
1275,Highlander (1986),741
1663,Stripes (1981),740
253,Interview with the Vampire (1994),738
2094,"Rocketeer, The (1991)",736
353,"Crow, The (1994)",734
292,Outbreak (1995),733
1333,"Birds, The (1963)",733
1249,Nikita (La Femme Nikita) (1990),733
1299,"Killing Fields, The (1984)",732
3698,"Running Man, The (1987)",730
2871,Deliverance (1972),729
953,It's a Wonderful Life (1946),729
1729,Jackie Brown (1997),724
2580,Go (1999),723
3704,Mad Max Beyond Thunderdome (1985),722
3489,Hook (1991),722
529,Searching for Bobby Fischer (1993),720
1466,Donnie Brasco (1997),719
2144,Sixteen Candles (1984),719
1244,Manhattan (1979),718
246,Hoop Dreams (1994),716
2005,"Goonies, The (1985)",716
968,Night of the Living Dead (1968),715
2124,"Addams Family, The (1991)",714
2160,Rosemary's Baby (1968),712
3148,"Cider House Rules, The (1999)",711
2140,"Dark Crystal, The (1982)",710
2944,"Dirty Dozen, The (1967)",707
266,Legends of the Fall (1994),705
300,Quiz Show (1994),705
1287,Ben-Hur (1959),704
2359,Waking Ned Devine (1998),703
2,Jumanji (1995),701
3763,F/X (1986),701
288,Natural Born Killers (1994),700
1263,"Deer Hunter, The (1978)",700
2572,10 Things I Hate About You (1999),700
2161,"NeverEnding Story, The (1984)",699
1235,Harold and Maude (1971),697
1262,"Great Escape, The (1963)",696
2150,"Gods Must Be Crazy, The (1980)",695
2145,Pretty in Pink (1986),693
337,What's Eating Gilbert Grape (1993),693
3868,"Naked Gun: From the Files of Police Squad!, The (1988)",692
2688,"General's Daughter, The (1999)",691
3504,Network (1976),688
1343,Cape Fear (1991),687
1088,Dirty Dancing (1987),687
434,Cliffhanger (1993),686
1084,Bonnie and Clyde (1967),686
141,"Birdcage, The (1996)",682
543,So I Married an Axe Murderer (1993),682
16,Casino (1995),682
104,Happy Gilmore (1996),682
3105,Awakenings (1990),680
1093,"Doors, The (1991)",680
708,"Truth About Cats & Dogs, The (1996)",679
1228,Raging Bull (1980),677
902,Breakfast at Tiffany's (1961),676
1188,Strictly Ballroom (1992),676
586,Home Alone (1990),675
2761,"Iron Giant, The (1999)",674
339,While You Were Sleeping (1995),673
2405,"Jewel of the Nile, The (1985)",673
1269,Arsenic and Old Lace (1944),672
1339,Bram Stoker's Dracula (1992),672
1293,Gandhi (1982),671
1918,Lethal Weapon 4 (1998),669
3476,Jacob's Ladder (1990),667
497,Much Ado About Nothing (1993),667
3263,White Men Can't Jump (1992),667
1831,Lost in Space (1998),667
3247,Sister Act (1992),666
1485,Liar Liar (1997),666
2078,"Jungle Book, The (1967)",664
1883,Bulworth (1998),664
1952,Midnight Cowboy (1969),663
231,Dumb & Dumber (1994),660
555,True Romance (1993),658
3863,"Cell, The (2000)",658
2300,"Producers, The (1968)",658
745,"Close Shave, A (1995)",657
3911,Best in Show (2000),657
2076,Blue Velvet (1986),654
3638,Moonraker (1979),652
1962,Driving Miss Daisy (1989),652
208,Waterworld (1995),651
2724,Runaway Bride (1999),650
2949,Dr. No (1962),646
1272,Patton (1970),645
2294,Antz (1998),645
3697,Predator 2 (1990),643
441,Dazed and Confused (1993),643
317,"Santa Clause, The (1994)",641
2329,American History X (1998),640
3005,"Bone Collector, The (1999)",640
442,Demolition Man (1993),640
95,Broken Arrow (1996),638
2527,Westworld (1973),636
1960,"Last Emperor, The (1987)",636
914,My Fair Lady (1964),636
2707,Arlington Road (1999),634
1957,Chariots of Fire (1981),634
3535,American Psycho (2000),630
800,Lone Star (1996),630
3591,Mr. Mom (1983),628
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),628
3683,Blood Simple (1984),628
1711,Midnight in the Garden of Good and Evil (1997),628
2664,Invasion of the Body Snatchers (1956),628
2273,Rush Hour (1998),627
1959,Out of Africa (1985),626
2528,Logan's Run (1976),626
3257,"Bodyguard, The (1992)",626
1805,Wild Things (1998),626
2542,"Lock, Stock & Two Smoking Barrels (1998)",625
2581,Never Been Kissed (1999),624
24,Powder (1995),624
2616,Dick Tracy (1990),624
3100,"River Runs Through It, A (1992)",623
2013,"Poseidon Adventure, The (1972)",622
610,Heavy Metal (1981),618
1203,12 Angry Men (1957),616
2539,Analyze This (1999),616
1037,"Lawnmower Man, The (1992)",615
852,Tin Cup (1996),615
1172,Cinema Paradiso (1988),615
3785,Scary Movie (2000),613
1373,Star Trek V: The Final Frontier (1989),613
1921,Pi (1998),613
2433,"Civil Action, A (1998)",612
653,Dragonheart (1996),612
3070,"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",611
509,"Piano, The (1993)",608
1885,"Opposite of Sex, The (1998)",608
1562,Batman & Robin (1997),606
198,Strange Days (1995),605
3301,"Whole Nine Yards, The (2000)",602
471,"Hudsucker Proxy, The (1994)",599
2371,Fletch (1985),599
2722,Deep Blue Sea (1999),598
2087,Peter Pan (1953),594
1256,Duck Soup (1933),594
1271,Fried Green Tomatoes (1991),593
1292,Being There (1979),591
3037,Little Big Man (1970),591
3298,Boiler Room (2000),590
3360,Hoosiers (1986),590
2018,Bambi (1942),589
2501,October Sky (1999),588
3717,Gone in 60 Seconds (2000),584
3740,Big Trouble in Little China (1986),584
3044,Dead Again (1991),583
2686,"Red Violin, The (Le Violon rouge) (1998)",583
898,"Philadelphia Story, The (1940)",582
2394,"Prince of Egypt, The (1998)",579
2333,Gods and Monsters (1998),578
1022,Cinderella (1950),577
3273,Scream 3 (2000),577
1019,"20,000 Leagues Under the Sea (1954)",575
466,Hot Shots! Part Deux (1993),573
2109,"Jerk, The (1979)",573
866,Bound (1996),572
1587,Conan the Barbarian (1982),572
1095,Glengarry Glen Ross (1992),571
112,Rumble in the Bronx (1995),570
185,"Net, The (1995)",569
2478,Three Amigos! (1986),569
1029,Dumbo (1941),568
1345,Carrie (1976),567
2662,"War of the Worlds, The (1953)",565
160,Congo (1995),565
2085,101 Dalmatians (1961),565
2717,Ghostbusters II (1989),565
832,Ransom (1996),564
2067,Doctor Zhivago (1965),564
3113,End of Days (1999),564
173,Judge Dredd (1995),564
673,Space Jam (1996),563
1479,"Saint, The (1997)",563
1186,"Sex, Lies, and Videotape (1989)",562
1378,Young Guns (1988),562
508,Philadelphia (1993),561
1296,"Room with a View, A (1986)",560
3752,"Me, Myself and Irene (2000)",560
1253,"Day the Earth Stood Still, The (1951)",559
3893,Nurse Betty (2000),559
2541,Cruel Intentions (1999),559
3060,"Commitments, The (1991)",558
2792,Airplane II: The Sequel (1982),558
1586,G.I. Jane (1997),557
2976,Bringing Out the Dead (1999),557
3252,Scent of a Woman (1992),555
151,Rob Roy (1995),554
1967,Labyrinth (1986),554
553,Tombstone (1993),553
3435,Double Indemnity (1944),551
196,Species (1995),550
1321,"American Werewolf in London, An (1981)",549
2795,Vacation (1983),549
3098,"Natural, The (1984)",548
1261,Evil Dead II (Dead By Dawn) (1987),548
1357,Shine (1996),548
3685,Prizzi's Honor (1985),545
45,To Die For (1995),544
3479,Ladyhawke (1985),542
3300,Pitch Black (2000),542
3614,Honeymoon in Vegas (1992),542
2133,Adventures in Babysitting (1987),541
1284,"Big Sleep, The (1946)",541
62,Mr. Holland's Opus (1995),541
1779,Sphere (1998),541
163,Desperado (1995),540
2046,Flight of the Navigator (1986),536
3745,Titan A.E. (2000),535
3524,Arthur (1981),534
3438,Teenage Mutant Ninja Turtles (1990),534
435,Coneheads (1993),533
2598,Pushing Tin (1999),533
1958,Terms of Endearment (1983),530
552,"Three Musketeers, The (1993)",529
1042,That Thing You Do! (1996),528
1911,Doctor Dolittle (1998),527
661,James and the Giant Peach (1996),525
1032,Alice in Wonderland (1951),525
3020,Falling Down (1993),524
2384,Babe: Pig in the City (1998),523
2951,"Fistful of Dollars, A (1964)",522
3095,"Grapes of Wrath, The (1940)",521
3359,Breaking Away (1979),520
3157,Stuart Little (1999),520
1945,On the Waterfront (1954),519
342,Muriel's Wedding (1994),518
2863,"Hard Day's Night, A (1964)",518
3087,Scrooged (1988),516
2423,Christmas Vacation (1989),515
350,"Client, The (1994)",515
1248,Touch of Evil (1958),514
2245,Working Girl (1988),514
2428,"Faculty, The (1998)",513
3264,Buffy the Vampire Slayer (1992),512
2096,Sleeping Beauty (1959),511
849,Escape from L.A. (1996),511
2642,Superman III (1983),511
2134,Weird Science (1985),510
3178,"Hurricane, The (1999)",509
1635,"Ice Storm, The (1997)",507
1956,Ordinary People (1980),507
1982,Halloween (1978),506
2469,Peggy Sue Got Married (1986),506
3534,28 Days (2000),505
2917,Body Heat (1981),504
3701,Alien Nation (1988),504
3654,"Guns of Navarone, The (1961)",502
58,"Postino, Il (The Postman) (1994)",501
838,Emma (1996),501
485,Last Action Hero (1993),500
1882,Godzilla (1998),499
1476,Private Parts (1997),499
1590,Event Horizon (1997),498
596,Pinocchio (1940),498
2137,Charlotte's Web (1973),497
3203,Dead Calm (1989),497
3317,Wonder Boys (2000),496
2126,Snake Eyes (1998),495
3735,Serpico (1973),495
1834,"Spanish Prisoner, The (1997)",493
2420,"Karate Kid, The (1984)",493
2986,Robocop 2 (1990),493
1589,Cop Land (1997),492
162,Crumb (1994),491
1907,Mulan (1998),490
3536,Keeping the Faith (2000),489
2841,Stir of Echoes (1999),487
3635,"Spy Who Loved Me, The (1977)",487
3168,Easy Rider (1969),485
628,Primal Fear (1996),485
3267,"Mariachi, El (1992)",483
1104,"Streetcar Named Desire, A (1951)",483
3173,Any Given Sunday (1999),483
2186,Strangers on a Train (1951),482
1441,Benny & Joon (1993),481
3260,Howards End (1992),480
2454,"Fly, The (1958)",480
1212,"Third Man, The (1949)",480
1059,William Shakespeare's Romeo and Juliet (1996),479
2065,"Purple Rose of Cairo, The (1985)",479
562,Welcome to the Dollhouse (1995),478
3827,Space Cowboys (2000),478
3,Grumpier Old Men (1995),478
2421,"Karate Kid, Part II, The (1986)",477
3269,Forever Young (1992),477
247,Heavenly Creatures (1994),477
2719,"Haunting, The (1999)",476
524,Rudy (1993),476
1591,Spawn (1997),475
3441,Red Dawn (1984),475
1405,Beavis and Butt-head Do America (1996),475
2463,Ruthless People (1986),475
3246,Malcolm X (1992),475
1644,I Know What You Did Last Summer (1997),475
2912,"Limey, The (1999)",474
1678,"Joy Luck Club, The (1993)",474
1041,Secrets & Lies (1996),474
2431,Patch Adams (1998),474
1223,"Grand Day Out, A (1992)",473
1257,Better Off Dead... (1985),472
1694,"Apostle, The (1997)",471
1894,Six Days Seven Nights (1998),471
2088,Popeye (1980),471
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),470
2311,2010 (1984),470
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",469
1566,Hercules (1997),469
2734,"Mosquito Coast, The (1986)",466
1680,Sliding Doors (1998),464
2533,Escape from the Planet of the Apes (1971),463
3798,What Lies Beneath (2000),463
410,Addams Family Values (1993),463
1449,Waiting for Guffman (1996),462
3639,"Man with the Golden Gun, The (1974)",461
3334,Key Largo (1948),461
1385,Under Siege (1992),461
2973,Crimes and Misdemeanors (1989),460
786,Eraser (1996),460
2735,"Golden Child, The (1986)",459
3409,Final Destination (2000),459
172,Johnny Mnemonic (1995),458
7,Sabrina (1995),458
2313,"Elephant Man, The (1980)",457
1120,"People vs. Larry Flynt, The (1996)",456
671,Mystery Science Theater 3000: The Movie (1996),456
348,Bullets Over Broadway (1994),455
1717,Scream 2 (1997),455
3512,Return to Me (2000),454
1254,"Treasure of the Sierra Madre, The (1948)",453
3159,Fantasia 2000 (1999),453
1185,My Left Foot (1989),453
3730,"Conversation, The (1974)",453
1274,Akira (1988),452
1955,Kramer Vs. Kramer (1979),452
1049,"Ghost and the Darkness, The (1996)",451
2788,And Now for Something Completely Different (1971),451
180,Mallrats (1995),451
1347,"Nightmare on Elm Street, A (1984)",451
515,"Remains of the Day, The (1993)",450
2739,"Color Purple, The (1985)",450
3468,"Hustler, The (1961)",450
994,Big Night (1996),450
1792,U.S. Marshalls (1998),448
3706,Angel Heart (1987),448
2805,Mickey Blue Eyes (1999),448
3016,Creepshow (1982),447
3219,Pacific Heights (1990),447
3358,Defending Your Life (1991),446
930,Notorious (1946),445
2926,Hairspray (1988),445
2409,Rocky II (1979),445
2413,Clue (1985),443
3545,Cabaret (1972),443
933,To Catch a Thief (1955),443
1297,Real Genius (1985),442
2687,Tarzan (1999),442
647,Courage Under Fire (1996),441
2253,Toys (1992),440
720,Wallace & Gromit: The Best of Aardman Animation (1996),438
2116,"Lord of the Rings, The (1978)",438
3274,Single White Female (1992),438
3916,Remember the Titans (2000),437
379,Timecop (1994),436
3791,Footloose (1984),435
1081,Victor/Victoria (1982),434
2450,Howard the Duck (1986),434
1047,"Long Kiss Goodnight, The (1996)",434
144,"Brothers McMullen, The (1995)",433
3254,Wayne's World 2 (1993),433
52,Mighty Aphrodite (1995),431
3869,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",431
3186,"Girl, Interrupted (1999)",431
2759,Dick (1999),430
3261,Singles (1992),429
2966,"Straight Story, The (1999)",429
1614,In & Out (1997),428
372,Reality Bites (1994),428
802,Phenomenon (1996),427
1224,Henry V (1989),426
2728,Spartacus (1960),426
916,Roman Holiday (1953),425
2989,For Your Eyes Only (1981),425
3285,"Beach, The (2000)",423
2009,Soylent Green (1973),422
2991,Live and Let Die (1973),422
2713,Lake Placid (1999),421
3035,Mister Roberts (1955),421
3744,Shaft (2000),421
1100,Days of Thunder (1990),420
3513,Rules of Engagement (2000),420
2335,"Waterboy, The (1998)",420
3617,Road Trip (2000),419
2840,Stigmata (1999),419
585,"Brady Bunch Movie, The (1995)",418
2375,"Money Pit, The (1986)",418
303,"Quick and the Dead, The (1995)",418
909,"Apartment, The (1960)",417
748,"Arrival, The (1996)",417
3019,Drugstore Cowboy (1989),416
2125,Ever After: A Cinderella Story (1998),416
724,"Craft, The (1996)",416
494,Executive Decision (1996),416
1171,Bob Roberts (1992),415
2622,"Midsummer Night's Dream, A (1999)",415
2471,Crocodile Dundee II (1988),414
2378,Police Academy (1984),413
955,Bringing Up Baby (1938),413
3686,Flatliners (1990),413
370,Naked Gun 33 1/3: The Final Insult (1994),412
333,Tommy Boy (1995),410
2600,eXistenZ (1999),410
2485,She's All That (1999),410
1350,"Omen, The (1976)",409
3844,Steel Magnolias (1989),408
1135,Private Benjamin (1980),407
2648,Frankenstein (1931),406
3826,Hollow Man (2000),405
1124,On Golden Pond (1981),405
2993,Thunderball (1965),404
2141,"American Tail, An (1986)",404
29,"City of Lost Children, The (1995)",403
926,All About Eve (1950),403
3259,Far and Away (1992),403
1283,High Noon (1952),403
1103,Rebel Without a Cause (1955),402
2402,Rambo: First Blood Part II (1985),401
1892,"Perfect Murder, A (1998)",401
2410,Rocky III (1982),401
3551,Marathon Man (1976),400
1499,Anaconda (1997),399
2857,Yellow Submarine (1968),399
3185,Snow Falling on Cedars (1999),398
2403,First Blood (1982),397
951,His Girl Friday (1940),397
1616,"Peacemaker, The (1997)",395
2702,Summer of Sam (1999),395
1620,Kiss the Girls (1997),395
3083,All About My Mother (Todo Sobre Mi Madre) (1999),394
3196,Stalag 17 (1953),394
